ردیف,priority,سال,بخش,ماده,بخش (ماده),موضوع,بند,خلاصه,شرح
1,1,1364,اول,32,اول (32),بیماریهای عمومی,1,سرطان,سرطان: از هر نوع و به هرشکل و در هر عضو و در هر مرحله ای که باشد خواه عمل شده باشد یاعمل نشده باشد: معاف دائم 
2,1,1364,اول,32,اول (32),بیماریهای عمومی,2,سل,"سل:
الف - سل ریه فعال: یکسال معاف موقت 
ب - آدنیتهای سلی فعال: یکسال معاف موقت 
ج - آدنیتهای سلی عمل شده یا خاموش: خدمات غیررزمی
 د - سل احشاء فعال: در هر مرحله که باشد: معاف دائم 
ه - سل ستون فقرات (بیماری پوت) و استخوانها و مفاصل در هر مرحله: معاف دائم 
و - سل ریه بهبودیافته و خاموش: خدمات غیررزمی"
3,1,1364,اول,32,اول (32),بیماریهای عمومی,3,جذام,جذام: به هرشکل و در هر مرحله معاف دائم
4,1,1364,اول,32,اول (32),بیماریهای عمومی,4,سیفیلیس,"سیفیلس:
الف - سیفلیس حاد در هر عضوی که باشد شش ماه معاف موقت 
ب - سیفلیس قدیمی دستگاه قلب و عروق، اعصاب (فالج مترقی ) و احشاء و در مواردیکه منجر به ایجاد ضایعات انهدامی در اعضاء و استخوانها شده باشد: معاف دائم"
5,1,1364,اول,32,اول (32),بیماریهای عمومی,5,مسمومیت مزمن از فلزات و مواد شیمیایی,"مسمومیت مزمن از فلزات و مواد شیمیایی مانند منگنز، جیوه، سرب، سولفیت دوکربن، تتراکلروردوکربن و غیره: معاف دائم"
6,1,1364,اول,32,اول (32),بیماریهای عمومی,6,عفونتهای قارچی ریتین یا احشاء,"عفونتهای قارچی ریتین یا احشاء:
الف - در موارد خفیف و در شروع بیماری: یکسال معاف موقت 
ب - در مراحل پیشرفته و یا مقاوم به درمان: معاف دائم"
7,1,1364,اول,32,اول (32),بیماریهای عمومی,7,رماتیسم مفصلی حاد,رماتیسم مفصلی حاد: (بیماری بری و همچنین کره سیدنهام) معاف دائم
8,1,1364,اول,32,اول (32),بیماریهای عمومی,8,آرتریت های مزمن,"آرتریت های مزمن:
الف - همراه با تغییر شکل استخوانها و مفاصل: معاف دائم 
ب - بدون تغییرشکل استخوانها و مفاصل: یکسال معاف موقت"
9,1,1364,اول,32,اول (32),بیماریهای عمومی,9,بیماری های انگلی مزمن,"بیماری های انگلی مزمن توام با اختلالات شدید در بدن نظیر بیلارزیوزیس و شیستوزومیازیس، آنکیلوستومیازیس و غیره: معافیت دائم"
10,1,1364,اول,32,اول (32),بیماریهای عمومی,10,بیماری هوچکین,بیماری هوچکین: معاف دائم
11,1,1364,اول,32,اول (32),بیماریهای عمومی,11,مالاریا,مالاریای مزمن توام با عوارض احشائی یا  کم خونی شدید: معاف دائم
12,1,1364,اول,32,اول (32),بیماریهای عمومی,12,لیشمانیوز احشائی,لیشمانیوز احشائی (بیماری کالاآزار): معاف دائم
13,1,1364,اول,32,اول (32),بیماریهای عمومی,13,لوسمی ها,لوسمی ها: معاف دائم
14,1,1364,اول,32,اول (32),بیماریهای عمومی,14,آپلازی مغز استخوان,آپلازی مغز استخوان به هر علت و به هر شکل و در هر مرحله ای : معاف دائم
15,1,1364,اول,32,اول (32),بیماریهای عمومی,15,فقدان رشد,فقدان رشد جسمی کافی یا ضعف عمومی جسمانی: یکسال معاف موقت
16,1,1364,اول,32,اول (32),بیماریهای عمومی,16,عدم کفایت نمو عضلانی,عدم کفایت در نمو عضلانی به نحوی که موجب ناتوانی در انجام فعالیت ها و تکالیف نظامی باشد: یکسال معاف موقت
17,1,1364,اول,32,اول (32),بیماریهای عمومی,17,شکستگی های استخوانی,"شکستگی های استخوانی که منجر به نصب پلاک و یا کونچر و یا سایر اعمال ارتوپدی شده است: 
الف - چنانچه استخوان در موقع معاینه جوش نخورده باشد: یکسال معاف موقت 
ب - درصورتیکه کمتر از شش ماه از عمل گذشته باشد: یکسال معاف موقت 
ج - درصورتیکه بیش از 3 ماه از عمل گذشته و استخوان در وضع مناسب جوش خورده: خدمات غیررزمی تبصره - غیر از موارد بالا در مورد شکستگی ها برحسب اختلال عضوی و ضایعات ایجادشده در مبحث ارتوپدی تعیین تکلیف شده است."
18,1,1364,اول,32,اول (32),بیماریهای عمومی,18,دوره نقاهت بیماری ها,دوره نقاهت بیماری های عفونی یا انجام عمل جراحی یا لزوم عمل به شرطی که نفس عمل موجب معافیت نباشد و سه ماه بیشتر از تاریخ عمل نگذشته باشد برحسب مورد از تاریخ ابتلاء به بیماری یا انجام عمل: سه تا شش ماه معافیت موقت
19,1,1364,اول,32,اول (32),بیماریهای عمومی,19,دوره درمان بیماری ها,مبتلایان به بیماری های قابل علاج که مدت درمان آنها بیش از یک ماه باشد برحسب مورد از تاریخ ابتلاء به بیماری سه تا شش ماه معاف موقت داده شود.
20,1,1364,اول,32,اول (32),بیماریهای عمومی,20,پایین افتادگی احشاء,"پایین افتادگی احشاء توام با اختلالات عملی در مشمولان عادی و دیپلمه، معاف دائم و در مشمولان بالاتر از دیپلم: خدمات غیر رزمی"
21,1,1364,اول,32,اول (32),بیماریهای عمومی,21,تظاهرات آلرژیک,تظاهرات آلرژیک نظیر آسم یا میگرن و درماتوزهای آلرژیک و غیره به هر شکل و در هر عضو: معاف موقت یکساله
22,1,1364,اول,32,اول (32),بیماریهای عمومی,22,درماتومیوزیت ها و ...,"درماتومیوزیت ها، میوزیت و فیبروزیت های نسبتا وسیع: معاف دائم"
23,1,1364,اول,32,اول (32),بیماریهای عمومی,23,سارکوئیدوزها,سارکوئیدوزها: معاف دائم
24,1,1364,اول,32,اول (32),بیماریهای عمومی,24,استعداد ابتلا به آفتاب زدگی,استعداد ابتلا به آفتاب زدگی و گرمازدگی: خدمات غیررزمی
25,1,1364,اول,32,اول (32),بیماریهای عمومی,25,تغییر شکل مشهود اعضاء و اندام,"تغییر شکل مشهود اعضاء و  اندام:
الف - درصورتیکه وضع مشمولان در ظاهر زننده و تغییر شکل اعضاء ایجاد کراهت منظر کرده باشد: معاف دائم 
ب - در مواردیکه اشکال برای انجام تمرینات و تکالیف نظامی بوجود آورده باشد: خدمات غیررزمی"
